ds,trend,confirmed,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,country
3/21/2021,148.3035801,457,394,519,148.3035801,148.3035801,-1.556718841,-1.556718841,-1.556718841,-1.556718841,-1.556718841,-1.556718841,2.093088983,2.093088983,2.093088983,2.093088983,2.093088983,2.093088983,Albania
3/22/2021,141.0450555,374,310,433,141.0450555,141.0450555,5.223006451,5.223006451,5.223006451,5.223006451,5.223006451,5.223006451,1.614938109,1.614938109,1.614938109,1.614938109,1.614938109,1.614938109,Albania
3/23/2021,133.7865309,407,350,471,133.7865309,133.7865309,8.269180042,8.269180042,8.269180042,8.269180042,8.269180042,8.269180042,1.981827324,1.981827324,1.981827324,1.981827324,1.981827324,1.981827324,Albania
3/24/2021,126.5280062,397,339,463,126.1756178,126.9241492,11.16394673,11.16394673,11.16394673,11.16394673,11.16394673,11.16394673,2.052511876,2.052511876,2.052511876,2.052511876,2.052511876,2.052511876,Albania
3/25/2021,119.2694816,390,330,452,118.0797034,120.499371,19.47083031,19.47083031,19.47083031,19.47083031,19.47083031,19.47083031,2.105482247,2.105482247,2.105482247,2.105482247,2.105482247,2.105482247,Albania
3/26/2021,112.010957,350,281,417,109.5802727,114.600762,3.430216245,3.430216245,3.430216245,3.430216245,3.430216245,3.430216245,2.095307955,2.095307955,2.095307955,2.095307955,2.095307955,2.095307955,Albania
3/27/2021,104.7524324,325,259,395,101.1372023,108.6891227,2.308771891,2.308771891,2.308771891,2.308771891,2.308771891,2.308771891,2.083797206,2.083797206,2.083797206,2.083797206,2.083797206,2.083797206,Albania
3/21/2021,2693.046322,4965,4146,5834,2693.046322,2693.046322,0,0,0,0,0,0,0.843452056,0.843452056,0.843452056,0.843452056,0.843452056,0.843452056,Argentina
3/22/2021,2718.258444,6265,5506,7126,2718.258444,2718.258444,0,0,0,0,0,0,1.304608963,1.304608963,1.304608963,1.304608963,1.304608963,1.304608963,Argentina
3/23/2021,2743.470566,8411,7631,9290,2743.470566,2743.470566,0,0,0,0,0,0,2.065963834,2.065963834,2.065963834,2.065963834,2.065963834,2.065963834,Argentina
3/24/2021,2768.682687,8718,7856,9637,2762.249469,2776.959704,0,0,0,0,0,0,2.14895386,2.14895386,2.14895386,2.14895386,2.14895386,2.14895386,Argentina
3/25/2021,2793.894809,8968,8083,9797,2774.126413,2812.456672,0,0,0,0,0,0,2.209677173,2.209677173,2.209677173,2.209677173,2.209677173,2.209677173,Argentina
3/26/2021,2819.106931,8787,7923,9652,2781.520576,2854.450565,0,0,0,0,0,0,2.117030244,2.117030244,2.117030244,2.117030244,2.117030244,2.117030244,Argentina
3/27/2021,2844.319052,6953,6066,7806,2787.925938,2897.075174,0,0,0,0,0,0,1.444531001,1.444531001,1.444531001,1.444531001,1.444531001,1.444531001,Argentina
3/21/2021,2.354608661,8,-44,61,2.354608661,2.354608661,0,0,0,0,0,0,2.210745303,2.210745303,2.210745303,2.210745303,2.210745303,2.210745303,Australia
3/22/2021,2.341782268,7,-41,59,2.341782268,2.341782268,0,0,0,0,0,0,1.856628272,1.856628272,1.856628272,1.856628272,1.856628272,1.856628272,Australia
3/23/2021,2.328955874,8,-43,62,2.328955874,2.328955874,0,0,0,0,0,0,2.333332041,2.333332041,2.333332041,2.333332041,2.333332041,2.333332041,Australia
3/24/2021,2.316129481,8,-44,57,2.316129481,2.320679869,0,0,0,0,0,0,2.580429131,2.580429131,2.580429131,2.580429131,2.580429131,2.580429131,Australia
3/25/2021,2.303303087,8,-43,61,2.096137848,2.824865262,0,0,0,0,0,0,2.547305577,2.547305577,2.547305577,2.547305577,2.547305577,2.547305577,Australia
3/26/2021,2.290476694,7,-46,59,1.681798777,3.611898412,0,0,0,0,0,0,1.891111635,1.891111635,1.891111635,1.891111635,1.891111635,1.891111635,Australia
3/27/2021,2.2776503,8,-45,64,1.092159758,4.465097116,0,0,0,0,0,0,2.724090838,2.724090838,2.724090838,2.724090838,2.724090838,2.724090838,Australia
3/21/2021,1027.473401,2720,2459,2975,1027.473401,1027.473401,0,0,0,0,0,0,1.647570562,1.647570562,1.647570562,1.647570562,1.647570562,1.647570562,Austria
3/22/2021,1043.239215,2131,1874,2371,1043.239215,1043.239215,0,0,0,0,0,0,1.042697221,1.042697221,1.042697221,1.042697221,1.042697221,1.042697221,Austria
3/23/2021,1059.00503,2739,2479,2999,1058.990971,1059.00503,0,0,0,0,0,0,1.586672194,1.586672194,1.586672194,1.586672194,1.586672194,1.586672194,Austria
3/24/2021,1074.770845,3462,3192,3695,1069.709306,1076.572888,0,0,0,0,0,0,2.22126913,2.22126913,2.22126913,2.22126913,2.22126913,2.22126913,Austria
3/25/2021,1090.53666,3916,3636,4172,1079.116146,1099.930355,0,0,0,0,0,0,2.590884531,2.590884531,2.590884531,2.590884531,2.590884531,2.590884531,Austria
3/26/2021,1106.302475,3932,3629,4212,1086.99784,1123.893546,0,0,0,0,0,0,2.554188651,2.554188651,2.554188651,2.554188651,2.554188651,2.554188651,Austria
3/27/2021,1122.06829,3646,3352,3911,1090.786491,1149.897954,0,0,0,0,0,0,2.249061262,2.249061262,2.249061262,2.249061262,2.249061262,2.249061262,Austria
3/21/2021,673.7356549,1836,1585,2070,673.7356549,673.7356549,3.490816326,3.490816326,3.490816326,3.490816326,3.490816326,3.490816326,1.719436038,1.719436038,1.719436038,1.719436038,1.719436038,1.719436038,Bangladesh
3/22/2021,704.0545267,2179,1955,2418,704.0545267,704.0545267,-5.474091972,-5.474091972,-5.474091972,-5.474091972,-5.474091972,-5.474091972,2.102275445,2.102275445,2.102275445,2.102275445,2.102275445,2.102275445,Bangladesh
3/23/2021,734.3733986,2307,2052,2530,734.3733986,734.3733986,-9.414186534,-9.414186534,-9.414186534,-9.414186534,-9.414186534,-9.414186534,2.154911385,2.154911385,2.154911385,2.154911385,2.154911385,2.154911385,Bangladesh
3/24/2021,764.6922705,2469,2226,2704,763.4374295,765.5026695,-16.64845658,-16.64845658,-16.64845658,-16.64845658,-16.64845658,-16.64845658,2.250521987,2.250521987,2.250521987,2.250521987,2.250521987,2.250521987,Bangladesh
3/25/2021,795.0111424,2563,2311,2813,789.1173296,799.3626771,0,0,0,0,0,0,2.223582054,2.223582054,2.223582054,2.223582054,2.223582054,2.223582054,Bangladesh
3/26/2021,825.3300142,2517,2268,2772,814.2907248,832.8969755,-32.38461888,-32.38461888,-32.38461888,-32.38461888,-32.38461888,-32.38461888,2.089315726,2.089315726,2.089315726,2.089315726,2.089315726,2.089315726,Bangladesh
3/27/2021,855.6488861,2321,2055,2585,839.6006907,869.177165,-38.64959761,-38.64959761,-38.64959761,-38.64959761,-38.64959761,-38.64959761,1.757198569,1.757198569,1.757198569,1.757198569,1.757198569,1.757198569,Bangladesh
3/21/2021,398.9163439,1068,912,1223,398.9163439,398.9163439,0,0,0,0,0,0,1.677721132,1.677721132,1.677721132,1.677721132,1.677721132,1.677721132,Belarus
3/22/2021,394.5725028,922,773,1076,394.5725028,394.5725028,0,0,0,0,0,0,1.337943654,1.337943654,1.337943654,1.337943654,1.337943654,1.337943654,Belarus
3/23/2021,390.2286617,845,701,997,390.2286617,390.2286617,0,0,0,0,0,0,1.166253721,1.166253721,1.166253721,1.166253721,1.166253721,1.166253721,Belarus
3/24/2021,385.8848206,999,857,1157,385.4907461,386.161173,0,0,0,0,0,0,1.587993267,1.587993267,1.587993267,1.587993267,1.587993267,1.587993267,Belarus
3/25/2021,381.5409795,998,838,1149,380.5616042,383.0175063,0,0,0,0,0,0,1.615310636,1.615310636,1.615310636,1.615310636,1.615310636,1.615310636,Belarus
3/26/2021,377.1971384,1040,880,1200,374.9876736,379.697607,0,0,0,0,0,0,1.756334702,1.756334702,1.756334702,1.756334702,1.756334702,1.756334702,Belarus
3/27/2021,372.8532973,1029,872,1191,369.0081709,376.9880965,0,0,0,0,0,0,1.758659381,1.758659381,1.758659381,1.758659381,1.758659381,1.758659381,Belarus
3/20/2021,1194.511712,4459,3484,5454,1194.511712,1194.511712,0,0,0,0,0,0,2.732981131,2.732981131,2.732981131,2.732981131,2.732981131,2.732981131,Belgium
3/21/2021,1222.76974,3486,2385,4545,1222.76974,1222.76974,0,0,0,0,0,0,1.85082504,1.85082504,1.85082504,1.85082504,1.85082504,1.85082504,Belgium
3/22/2021,1251.027767,2415,1408,3448,1251.027767,1251.027767,0,0,0,0,0,0,0.930420806,0.930420806,0.930420806,0.930420806,0.930420806,0.930420806,Belgium
3/23/2021,1279.285794,2920,1917,3902,1277.12698,1281.625883,0,0,0,0,0,0,1.282446389,1.282446389,1.282446389,1.282446389,1.282446389,1.282446389,Belgium
3/24/2021,1307.543822,5004,3979,6076,1286.166245,1321.189534,0,0,0,0,0,0,2.827088752,2.827088752,2.827088752,2.827088752,2.827088752,2.827088752,Belgium
3/25/2021,1335.801849,5681,4588,6744,1299.937191,1384.751552,0,0,0,0,0,0,3.252541696,3.252541696,3.252541696,3.252541696,3.252541696,3.252541696,Belgium
3/26/2021,1364.059877,5366,4203,6473,1283.389388,1436.854404,0,0,0,0,0,0,2.933766354,2.933766354,2.933766354,2.933766354,2.933766354,2.933766354,Belgium
3/21/2021,35468.66007,49183,40488,57495,35468.66007,35468.66007,0,0,0,0,0,0,0.386672338,0.386672338,0.386672338,0.386672338,0.386672338,0.386672338,Brazil
3/22/2021,35840.94441,40720,32912,49040,35840.94441,35840.94441,0,0,0,0,0,0,0.136120458,0.136120458,0.136120458,0.136120458,0.136120458,0.136120458,Brazil
3/23/2021,36213.22876,86785,78462,95484,36213.22876,36213.22876,0,0,0,0,0,0,1.396493253,1.396493253,1.396493253,1.396493253,1.396493253,1.396493253,Brazil
3/24/2021,36585.5131,95676,86885,103534,36585.5131,36593.18583,0,0,0,0,0,0,1.615143258,1.615143258,1.615143258,1.615143258,1.615143258,1.615143258,Brazil
3/25/2021,36957.79744,95536,87381,103723,36949.59408,36985.68868,0,0,0,0,0,0,1.585010246,1.585010246,1.585010246,1.585010246,1.585010246,1.585010246,Brazil
3/26/2021,37330.08179,91070,82789,100133,37286.00938,37390.97264,0,0,0,0,0,0,1.43958005,1.43958005,1.43958005,1.43958005,1.43958005,1.43958005,Brazil
3/27/2021,37702.36613,85706,76954,94359,37611.77674,37806.15637,0,0,0,0,0,0,1.273212883,1.273212883,1.273212883,1.273212883,1.273212883,1.273212883,Brazil
3/21/2021,1357.463257,1055,861,1257,1357.463257,1357.463257,0,0,0,0,0,0,-0.222656562,-0.222656562,-0.222656562,-0.222656562,-0.222656562,-0.222656562,Bulgaria
3/22/2021,1397.165361,4497,4287,4686,1397.165361,1397.165361,0,0,0,0,0,0,2.218765216,2.218765216,2.218765216,2.218765216,2.218765216,2.218765216,Bulgaria
3/23/2021,1436.867466,5695,5492,5914,1436.867466,1436.867466,0,0,0,0,0,0,2.96373452,2.96373452,2.96373452,2.96373452,2.96373452,2.96373452,Bulgaria
3/24/2021,1476.569571,5086,4875,5304,1474.778919,1478.559656,0,0,0,0,0,0,2.444251298,2.444251298,2.444251298,2.444251298,2.444251298,2.444251298,Bulgaria
3/25/2021,1516.271676,5030,4815,5236,1511.294803,1522.618696,0,0,0,0,0,0,2.317087019,2.317087019,2.317087019,2.317087019,2.317087019,2.317087019,Bulgaria
3/26/2021,1555.97378,5416,5201,5618,1544.75487,1565.921948,0,0,0,0,0,0,2.480916729,2.480916729,2.480916729,2.480916729,2.480916729,2.480916729,Bulgaria
3/27/2021,1595.675885,3113,2903,3316,1578.002899,1611.714089,0,0,0,0,0,0,0.950684199,0.950684199,0.950684199,0.950684199,0.950684199,0.950684199,Bulgaria
3/20/2021,14.8855529,26,14,40,14.8855529,14.8855529,0,0,0,0,0,0,0.767239442,0.767239442,0.767239442,0.767239442,0.767239442,0.767239442,Burundi
3/21/2021,14.8642311,26,13,39,14.8642311,14.8642311,0,0,0,0,0,0,0.778299534,0.778299534,0.778299534,0.778299534,0.778299534,0.778299534,Burundi
3/22/2021,14.84290931,14,0,26,14.84290931,14.84290931,0,0,0,0,0,0,-0.089204567,-0.089204567,-0.089204567,-0.089204567,-0.089204567,-0.089204567,Burundi
3/23/2021,14.82158751,8,-4,21,14.81509344,14.82597941,0,0,0,0,0,0,-0.441525287,-0.441525287,-0.441525287,-0.441525287,-0.441525287,-0.441525287,Burundi
3/24/2021,14.80026571,33,21,46,14.77884516,14.81954715,0,0,0,0,0,0,1.260855937,1.260855937,1.260855937,1.260855937,1.260855937,1.260855937,Burundi
3/25/2021,14.77894392,34,21,47,14.73980567,14.82189766,0,0,0,0,0,0,1.293678842,1.293678842,1.293678842,1.293678842,1.293678842,1.293678842,Burundi
3/26/2021,14.75762212,23,10,35,14.68294883,14.83493318,0,0,0,0,0,0,0.557276237,0.557276237,0.557276237,0.557276237,0.557276237,0.557276237,Burundi
3/21/2021,1541.22777,3365,2735,3975,1541.22777,1541.22777,0,0,0,0,0,0,1.183037195,1.183037195,1.183037195,1.183037195,1.183037195,1.183037195,Canada
3/22/2021,1550.72018,3963,3282,4559,1550.72018,1550.72018,0,0,0,0,0,0,1.555345142,1.555345142,1.555345142,1.555345142,1.555345142,1.555345142,Canada
3/23/2021,1560.212591,3339,2701,3933,1560.212591,1560.212591,0,0,0,0,0,0,1.140197061,1.140197061,1.140197061,1.140197061,1.140197061,1.140197061,Canada
3/24/2021,1569.705001,3435,2765,4071,1569.705001,1569.705001,0,0,0,0,0,0,1.188144348,1.188144348,1.188144348,1.188144348,1.188144348,1.188144348,Canada
3/25/2021,1579.197411,3680,3048,4349,1575.487083,1581.366149,0,0,0,0,0,0,1.330074227,1.330074227,1.330074227,1.330074227,1.330074227,1.330074227,Canada
3/26/2021,1588.689822,3513,2858,4150,1578.574797,1595.596606,0,0,0,0,0,0,1.211107711,1.211107711,1.211107711,1.211107711,1.211107711,1.211107711,Canada
3/27/2021,1598.182232,3221,2566,3861,1580.890943,1612.907214,0,0,0,0,0,0,1.015551989,1.015551989,1.015551989,1.015551989,1.015551989,1.015551989,Canada
3/21/2021,2318.019146,6097,5395,6783,2318.019146,2318.019146,0,0,0,0,0,0,1.630448215,1.630448215,1.630448215,1.630448215,1.630448215,1.630448215,Chile
3/22/2021,2352.568358,5608,4896,6287,2352.568358,2352.568358,0,0,0,0,0,0,1.38398349,1.38398349,1.38398349,1.38398349,1.38398349,1.38398349,Chile
3/23/2021,2387.11757,4630,3900,5287,2387.11757,2387.11757,0,0,0,0,0,0,0.93946885,0.93946885,0.93946885,0.93946885,0.93946885,0.93946885,Chile
3/24/2021,2421.666782,4690,4025,5342,2417.271636,2425.741385,0,0,0,0,0,0,0.936681301,0.936681301,0.936681301,0.936681301,0.936681301,0.936681301,Chile
3/25/2021,2456.215994,6279,5582,6911,2444.66245,2467.172658,0,0,0,0,0,0,1.556170025,1.556170025,1.556170025,1.556170025,1.556170025,1.556170025,Chile
3/26/2021,2490.765206,6748,5996,7434,2470.601511,2507.01546,0,0,0,0,0,0,1.709010906,1.709010906,1.709010906,1.709010906,1.709010906,1.709010906,Chile
3/27/2021,2525.314419,8519,7793,9206,2490.979323,2552.108589,0,0,0,0,0,0,2.373588821,2.373588821,2.373588821,2.373588821,2.373588821,2.373588821,Chile
3/21/2021,-4.316394797,-8,-718,697,-4.316394797,-4.316394797,0,0,0,0,0,0,0.809358244,0.809358244,0.809358244,0.809358244,0.809358244,0.809358244,China
3/22/2021,-4.971003331,-8,-712,678,-4.971003331,-4.971003331,0,0,0,0,0,0,0.570582108,0.570582108,0.570582108,0.570582108,0.570582108,0.570582108,China
3/23/2021,-5.625611864,-10,-673,667,-5.625611864,-5.625611864,0,0,0,0,0,0,0.786353312,0.786353312,0.786353312,0.786353312,0.786353312,0.786353312,China
3/24/2021,-6.280220397,-7,-737,686,-9.240915574,-4.736914304,0,0,0,0,0,0,0.192676203,0.192676203,0.192676203,0.192676203,0.192676203,0.192676203,China
3/25/2021,-6.934828931,-34,-697,699,-13.72689049,-2.240373977,0,0,0,0,0,0,3.848827714,3.848827714,3.848827714,3.848827714,3.848827714,3.848827714,China
3/26/2021,-7.589437464,-21,-728,699,-22.18312784,5.815295479,0,0,0,0,0,0,1.75092421,1.75092421,1.75092421,1.75092421,1.75092421,1.75092421,China
3/27/2021,-8.244045997,-13,-669,667,-27.58835758,10.84181059,0,0,0,0,0,0,0.621210915,0.621210915,0.621210915,0.621210915,0.621210915,0.621210915,China
3/21/2021,1673.436599,4663,3770,5694,1673.436599,1673.436599,0,0,0,0,0,0,1.786691662,1.786691662,1.786691662,1.786691662,1.786691662,1.786691662,Colombia
3/22/2021,1705.508321,4388,3428,5395,1705.508321,1705.508321,0,0,0,0,0,0,1.572790413,1.572790413,1.572790413,1.572790413,1.572790413,1.572790413,Colombia
3/23/2021,1737.580043,4811,3860,5742,1737.580043,1737.580043,0,0,0,0,0,0,1.768681482,1.768681482,1.768681482,1.768681482,1.768681482,1.768681482,Colombia
3/24/2021,1769.651765,5403,4458,6362,1769.315508,1774.480595,0,0,0,0,0,0,2.053281904,2.053281904,2.053281904,2.053281904,2.053281904,2.053281904,Colombia
3/25/2021,1801.723487,5691,4708,6666,1787.474598,1823.616146,0,0,0,0,0,0,2.158612059,2.158612059,2.158612059,2.158612059,2.158612059,2.158612059,Colombia
3/26/2021,1833.795209,5523,4555,6564,1802.54403,1873.747464,-29.64772436,-29.64772436,-29.64772436,-29.64772436,-29.64772436,-29.64772436,2.028101054,2.028101054,2.028101054,2.028101054,2.028101054,2.028101054,Colombia
3/27/2021,1865.866931,5737,4670,6776,1810.516452,1923.313083,-18.08045433,-18.08045433,-18.08045433,-18.08045433,-18.08045433,-18.08045433,2.084522991,2.084522991,2.084522991,2.084522991,2.084522991,2.084522991,Colombia
3/21/2021,324.9746167,915,724,1102,324.9746167,324.9746167,0,0,0,0,0,0,1.815663147,1.815663147,1.815663147,1.815663147,1.815663147,1.815663147,Croatia
3/22/2021,334.5735016,489,297,671,334.5735016,334.5735016,0,0,0,0,0,0,0.460248027,0.460248027,0.460248027,0.460248027,0.460248027,0.460248027,Croatia
3/23/2021,344.1723864,812,616,1010,344.1723864,344.1723864,0,0,0,0,0,0,1.360454237,1.360454237,1.360454237,1.360454237,1.360454237,1.360454237,Croatia
3/24/2021,353.7712712,1310,1116,1509,351.1949466,353.7712712,0,0,0,0,0,0,2.704192304,2.704192304,2.704192304,2.704192304,2.704192304,2.704192304,Croatia
3/25/2021,363.370156,1449,1248,1648,357.0501275,365.0904959,0,0,0,0,0,0,2.988926845,2.988926845,2.988926845,2.988926845,2.988926845,2.988926845,Croatia
3/26/2021,372.9690409,1374,1128,1587,359.6835933,379.3424044,0,0,0,0,0,0,2.68483858,2.68483858,2.68483858,2.68483858,2.68483858,2.68483858,Croatia
3/27/2021,382.5679257,1377,1147,1593,363.0909148,394.073159,0,0,0,0,0,0,2.599004196,2.599004196,2.599004196,2.599004196,2.599004196,2.599004196,Croatia
3/21/2021,3020.097755,5749,4608,6900,3020.097755,3020.097755,0,0,0,0,0,0,0.903637835,0.903637835,0.903637835,0.903637835,0.903637835,0.903637835,Czechia
3/22/2021,2961.888227,4400,3158,5552,2961.888227,2961.888227,0,0,0,0,0,0,0.485500666,0.485500666,0.485500666,0.485500666,0.485500666,0.485500666,Czechia
3/23/2021,2903.6787,9854,8758,11053,2903.35616,2903.6787,0,0,0,0,0,0,2.393733058,2.393733058,2.393733058,2.393733058,2.393733058,2.393733058,Czechia
3/24/2021,2845.469172,11806,10607,13000,2831.062167,2854.098548,0,0,0,0,0,0,3.148937997,3.148937997,3.148937997,3.148937997,3.148937997,3.148937997,Czechia
3/25/2021,2787.259644,10981,9811,12162,2755.248169,2811.404375,0,0,0,0,0,0,2.939773696,2.939773696,2.939773696,2.939773696,2.939773696,2.939773696,Czechia
3/26/2021,2729.050116,9894,8725,11125,2675.628802,2776.037228,0,0,0,0,0,0,2.625603233,2.625603233,2.625603233,2.625603233,2.625603233,2.625603233,Czechia
3/27/2021,2670.840588,8943,7725,10186,2587.817053,2739.989846,0,0,0,0,0,0,2.348482865,2.348482865,2.348482865,2.348482865,2.348482865,2.348482865,Czechia
3/21/2021,279.8662097,670,422,905,279.8662097,279.8662097,0,0,0,0,0,0,1.393166739,1.393166739,1.393166739,1.393166739,1.393166739,1.393166739,Denmark
3/22/2021,283.8186894,765,526,1018,283.8186894,283.8186894,0,0,0,0,0,0,1.696767123,1.696767123,1.696767123,1.696767123,1.696767123,1.696767123,Denmark
3/23/2021,287.7711692,739,486,983,287.7380859,287.7711692,0,0,0,0,0,0,1.568993502,1.568993502,1.568993502,1.568993502,1.568993502,1.568993502,Denmark
3/24/2021,291.7236489,886,633,1140,290.436994,293.0044668,0,0,0,0,0,0,2.038034668,2.038034668,2.038034668,2.038034668,2.038034668,2.038034668,Denmark
3/25/2021,295.6761287,878,646,1125,291.6123429,299.5596763,0,0,0,0,0,0,1.969660995,1.969660995,1.969660995,1.969660995,1.969660995,1.969660995,Denmark
3/26/2021,299.6286084,974,746,1240,292.3995456,307.1881682,0,0,0,0,0,0,2.249397648,2.249397648,2.249397648,2.249397648,2.249397648,2.249397648,Denmark
3/27/2021,303.5810882,847,616,1097,292.8331142,315.2642461,0,0,0,0,0,0,1.788629087,1.788629087,1.788629087,1.788629087,1.788629087,1.788629087,Denmark
3/21/2021,120.3392969,317,78,548,120.3392969,120.3392969,0,0,0,0,0,0,1.637447489,1.637447489,1.637447489,1.637447489,1.637447489,1.637447489,Dominican Republic
3/22/2021,113.2865855,225,-12,439,113.2865855,113.2865855,0,0,0,0,0,0,0.985509584,0.985509584,0.985509584,0.985509584,0.985509584,0.985509584,Dominican Republic
